count,name
4,Amphibian (Earth-712)
4,Marvel Zombies
4,Dormammu
4,Frenzy
4,Darwin
4,Jackpot
4,Yellow Claw
4,Killmonger
4,Magneto (House of M)
4,Pepper Potts
4,Ultron
4,Nomad (Rikki Barnes)
4,Shocker (Herman Schultz)
4,Firebird
4,Enchantress (Amora)
4,Satana
4,Ajak
3,Cloud 9
3,Nightshade
3,Bedlam
3,Glorian
3,Blazing Skull
3,Warpath
3,Night Thrasher (Dwayne Taylor)
3,Nightmare
3,Fixer (Paul Norbert Ebersol)
3,Nomad
3,Hepzibah
3,Scarecrow (Ebenezer Laughton)
3,Darkstar
3,Sunset Bain
3,Romulus
3,Lethal Legion
3,Cassandra Nova
3,Carmella Unuscione
3,George Stacy (Ultimate)
3,Captain Marvel (Phyla-Vell)
3,Jean Grey (Ultimate)
3,The Howling Commandos
3,Moira MacTaggert
3,Demogoblin
3,Deathbird
3,Jubilee (Age of Apocalypse)
3,Terrax
3,Hitman
3,Jack O' Lantern
3,Azazel (Mutant)
3,Owl
3,Mercury
3,Matthew Murdock
3,Scream (Donna Diego)
3,Blacklash
3,Nebula
3,Bug
3,Iron Patriot
3,Wolverine (Ultimate)
3,Count Nefaria
3,Dragon Lord
3,Gideon
3,Rogue (Ultimate)
3,Genis-Vell
3,Madame Masque
3,Madelyne Pryor
3,Stephen Strange
3,Miracleman
3,Doctor Doom (Ultimate)
3,Outlaw Kid
3,Marauders
3,Proteus
3,Starfox
3,Devos
3,Lightspeed
3,Blackout
2,Holocaust (Age of Apocalypse)
2,Alpha Flight (Ultimate)
2,Sons of the Tiger
2,Christian Walker
2,Cerise
2,War Machine (Ultimate)
2,Mr. X
2,Hate-Monger (Adolf Hitler)
2,Mad Thinker
2,Bloke
2,Carnage (Ultimate)
2,Caretaker
2,Red Ghost
2,Daily Bugle
2,Living Tribunal
2,Johnny Blaze
2,Microbe
2,Ronan
2,Sleeper
2,Firestar (Ultimate)
2,Hannibal King
2,Sebastian Shaw
2,Molten Man
2,Dreaming Celestial
2,Hobgoblin (Jason Macendale)
2,Pride
2,Iron Fist (Orson Randall)
2,Molly Hayes
2,Mimic
2,Hammerhead (Ultimate)
2,Gertrude Yorkes
2,Mandarin
2,Shang-Chi (Ultimate)
2,Swordsman
2,Nico Minoru
2,Dexter Bennett
2,Bloodaxe
2,Mystique (Age of Apocalypse)
2,T'Challa
2,Forearm
2,Otto Octavius
2,Killer Shrike
2,Black Queen
2,Patch
2,Moondragon
2,Cobalt Man
2,Rockslide
2,Living Lightning
2,Thundra
2,Lady Deathstrike
2,H.A.M.M.E.R.
2,Squadron Sinister
2,Puppet Master
2,Abomination (Ultimate)
2,Living Laser
2,Masked Marvel (Unrevealed)
2,Radioactive Man
2,Praxagora
2,Ancient One (Ultimate)
2,Tarantula (Maria Vasquez)
2,Garrison Kane
2,Onslaught
2,Nova (Frankie Raye)
2,Battering Ram
2,Jamie Braddock
2,Madame Hydra
2,Iceman (Ultimate)
2,Medusa
2,Stryfe
2,Carol Danvers
2,Meggan
2,Doctor Strange (Ultimate)
2,Big Wheel
2,Masters of Evil
2,Nitro
2,Imperial Guard
2,Lilith
2,Cyclops (Ultimate)
2,Cammi
2,Shard
2,Harry Osborn (Ultimate)
2,Mr. Hyde
2,Gauntlet (Joseph Green)
2,Mesmero
1,Green Goblin (Ultimate)
1,Risque
1,Chimera
1,Magus (Adam Warlock)
1,Karolina Dean 
1,Phil Coulson (Phil Coulson)
1,Armory
1,Living Mummy
1,Typhoid Mary
1,Skreet
1,Proudstar
1,Chthon
1,Deena Pilgrim
1,Pandemic
1,Mandrill
1,Photon
1,Tinkerer
1,Blue Shield
1,Speed
1,Scarlet Witch (Ultimate)
1,Iron Fist (Bei Bang-Wen)
1,Switch
1,Venom (Mac Gargan)
1,Orphan-Maker
1,Virginia Dare
1,Shalla-bal
1,Crusher Hogan
1,Detective Soap
1,Ultimatum
1,Joystick
1,Zzzax
1,Masque
1,Sabretooth (Age of Apocalypse)
1,Energizer
1,Quasar (Wendell Vaughn)
1,Gorgon (Inhumans)
1,Lord Hawal
1,Dagger
1,Giant-Man (Ultimate)
1,Sage
1,Stranger
1,Valkyrie (Samantha Parrington)
1,Dark Phoenix
1,The Order
1,Magma (Amara Aquilla)
1,Puck
1,Husk
1,Steve Rogers
